Reporting Area,MMWR Year,MMWR Week,"Pertussis, Current week 2021","Pertussis, Previous 52 weeks Max","Pertussis, Cum 2020","Pertussis, Cum 2019"
OKLAHOMA,2020,8,,10,,
NORTHERN MARIANA ISLANDS,2020,8,,0,,
OHIO,2020,8,18,51,245,184
MINNESOTA,2020,8,,15,,57
LOUISIANA,2020,8,,5,4,17
HAWAII,2020,8,,4,6,3
SOUTH ATLANTIC,2020,8,22,68,192,189
MOUNTAIN,2020,11,28,134,398,420
INDIANA,2020,11,,11,23,60
PENNSYLVANIA,2020,8,16,50,199,62
UTAH,2020,8,1,12,7,59
COLORADO,2020,8,8,21,74,75
VERMONT,2020,8,,5,9,5
KENTUCKY,2020,8,,14,28,25
PUERTO RICO,2020,8,,0,,
MAINE,2020,8,1,17,19,87
VIRGINIA,2020,8,2,36,31,16
ARIZONA,2020,8,17,22,123,68
AMERICAN SAMOA,2020,8,,0,,
WISCONSIN,2020,8,,42,41,70
IDAHO,2020,8,,17,16,15
U.S. VIRGIN ISLANDS,2020,8,,0,,
MICHIGAN,2020,8,,21,35,65
GEORGIA,2020,8,,3,1,25
NEW YORK CITY,2020,8,,15,16,37
ARKANSAS,2020,8,,7,14,12
MISSISSIPPI,2020,8,,3,5,8
SOUTH DAKOTA,2020,8,,8,2,40
WYOMING,2020,8,,7,11,
MISSOURI,2020,8,,19,20,48
MIDDLE ATLANTIC,2020,8,27,81,283,217
CALIFORNIA,2020,8,,64,125,358
WEST VIRGINIA,2020,8,,5,4,1
FLORIDA,2020,8,18,22,95,46
MONTANA,2020,8,,95,15,56
WEST NORTH CENTRAL,2020,8,3,46,59,213
MASSACHUSETTS,2020,8,2,14,15,41
MOUNTAIN,2020,8,26,134,267,314
INDIANA,2020,8,,11,20,39
NON-US RESIDENTS,2020,8,,0,,
US TERRITORIES,2020,8,,2,,
MASSACHUSETTS,2020,9,,14,15,49
MOUNTAIN,2020,9,30,134,322,354
INDIANA,2020,9,,11,21,43
NON-US RESIDENTS,2020,9,,0,,
US TERRITORIES,2020,9,,2,,
NON-US RESIDENTS,2020,11,,0,,
US TERRITORIES,2020,11,,2,,
US RESIDENTS,2020,12,89,466,2871,3229
NEW HAMPSHIRE,2020,12,,5,3,20
NEW YORK,2020,12,7,30,107,120
PACIFIC,2020,12,,87,516,711
WEST SOUTH CENTRAL,2020,12,1,121,175,135
NEBRASKA,2020,12,6,11,37,28
EAST SOUTH CENTRAL,2020,12,6,28,135,139
NORTH DAKOTA,2020,12,,7,11,1
TOTAL,2020,15,47,467,3413,3964
US RESIDENTS,2020,15,47,467,3413,3964
NEW HAMPSHIRE,2020,15,,5,3,21
NEW YORK,2020,15,,30,112,151
PACIFIC,2020,15,3,88,593,870
WEST SOUTH CENTRAL,2020,15,2,122,187,184
NEBRASKA,2020,15,1,11,39,43
EAST SOUTH CENTRAL,2020,15,6,28,186,178
NORTH DAKOTA,2020,15,,7,13,1
NEVADA,2020,15,,6,7,29
ILLINOIS,2020,15,,46,278,143
IOWA,2020,15,,17,15,56
TEXAS,2020,15,2,117,144,133
ALASKA,2020,15,,4,,8
DISTRICT OF COLUMBIA,2020,15,,4,7,6
WASHINGTON,2020,15,2,32,186,141
NEW ENGLAND,2020,15,,26,84,275
RHODE ISLAND,2020,15,,8,3,2
OREGON,2020,15,,20,131,53
DELAWARE,2020,15,,3,11,
ALABAMA,2020,15,4,14,76,65
KANSAS,2020,15,,3,,34
NORTH CAROLINA,2020,15,,20,84,101
GUAM,2020,15,,2,,
NEW JERSEY,2020,15,,11,,79
NEW MEXICO,2020,15,,9,33,59
EAST NORTH CENTRAL,2020,15,14,125,789,723
TENNESSEE,2020,15,2,14,63,57
CONNECTICUT,2020,15,,5,4,13
MARYLAND,2020,15,1,6,16,27
SOUTH CAROLINA,2020,15,,10,11,67
OKLAHOMA,2020,15,,10,,
NORTHERN MARIANA ISLANDS,2020,15,,0,,
OHIO,2020,15,14,51,360,246
MINNESOTA,2020,15,,15,11,119
LOUISIANA,2020,15,,5,15,27
HAWAII,2020,15,,4,10,9
SOUTH ATLANTIC,2020,15,10,78,456,422
PENNSYLVANIA,2020,15,3,50,313,97
UTAH,2020,15,,15,40,99
COLORADO,2020,15,,21,133,129
VERMONT,2020,15,,5,10,6
KENTUCKY,2020,15,,14,42,42
PUERTO RICO,2020,15,,0,,
MAINE,2020,15,,13,27,161
VIRGINIA,2020,15,3,43,62,44
ARIZONA,2020,15,3,28,253,121
AMERICAN SAMOA,2020,15,,0,,
WISCONSIN,2020,15,,42,55,147
IDAHO,2020,15,1,17,18,28
U.S. VIRGIN ISLANDS,2020,15,,0,,
TOTAL,2020,10,98,466,2389,2700
US RESIDENTS,2020,10,98,466,2389,2700
NEW HAMPSHIRE,2020,10,,5,3,15
NEW YORK,2020,10,10,30,91,97
PACIFIC,2020,10,2,86,426,587
WEST SOUTH CENTRAL,2020,10,10,120,144,94
NEBRASKA,2020,10,,11,22,22
EAST SOUTH CENTRAL,2020,10,3,28,105,123
NORTH DAKOTA,2020,10,,7,9,1
NEVADA,2020,10,,6,7,17
ILLINOIS,2020,10,,45,164,103
IOWA,2020,10,,17,6,41
TEXAS,2020,10,6,115,111,60
ALASKA,2020,10,,4,,4
DISTRICT OF COLUMBIA,2020,10,,4,5,5
WASHINGTON,2020,10,,31,146,88
NEW ENGLAND,2020,10,1,25,52,189
RHODE ISLAND,2020,10,,8,3,
OREGON,2020,10,2,20,98,41
DELAWARE,2020,10,,3,10,
ALABAMA,2020,10,1,14,27,45
KANSAS,2020,10,,4,,26
NORTH CAROLINA,2020,10,,20,45,63
GUAM,2020,10,,2,,
NEW JERSEY,2020,10,,11,,50
NEW MEXICO,2020,10,,9,23,42
EAST NORTH CENTRAL,2020,10,12,125,568,521
TENNESSEE,2020,10,2,14,40,38
CONNECTICUT,2020,10,,5,1,10
MARYLAND,2020,10,1,6,13,20
SOUTH CAROLINA,2020,10,,11,11,51
OKLAHOMA,2020,10,,10,,
NORTHERN MARIANA ISLANDS,2020,10,,0,,
MICHIGAN,2020,15,,21,67,115
GEORGIA,2020,15,,23,91,83
NEW YORK CITY,2020,15,,15,34,47
ARKANSAS,2020,15,,7,28,24
MISSISSIPPI,2020,15,,3,5,14
OHIO,2020,10,12,51,286,199
MINNESOTA,2020,10,,15,9,68
LOUISIANA,2020,10,2,5,12,19
HAWAII,2020,10,,4,7,5
SOUTH ATLANTIC,2020,10,19,71,286,278
PENNSYLVANIA,2020,10,10,50,244,69
UTAH,2020,10,,12,21,74
COLORADO,2020,10,11,21,103,91
VERMONT,2020,10,,5,9,5
KENTUCKY,2020,10,,14,33,29
PUERTO RICO,2020,10,,0,,
MAINE,2020,10,1,17,21,103
VIRGINIA,2020,10,5,37,42,29
ARIZONA,2020,10,14,23,160,88
AMERICAN SAMOA,2020,10,,0,,
WISCONSIN,2020,10,,42,49,90
IDAHO,2020,10,3,17,19,18
U.S. VIRGIN ISLANDS,2020,10,,0,,
MICHIGAN,2020,10,,21,46,78
GEORGIA,2020,10,,15,37,44
NEW YORK CITY,2020,10,,15,19,42
ARKANSAS,2020,10,2,7,21,15
MISSISSIPPI,2020,10,,3,5,11
SOUTH DAKOTA,2020,10,,8,2,42
WYOMING,2020,10,,7,11,
MISSOURI,2020,10,3,19,45,56
MIDDLE ATLANTIC,2020,10,20,81,354,258
CALIFORNIA,2020,10,,64,175,449
WEST VIRGINIA,2020,10,,5,5,1
FLORIDA,2020,10,13,22,118,65
MONTANA,2020,10,,95,17,64
WEST NORTH CENTRAL,2020,10,3,46,93,256
MASSACHUSETTS,2020,10,,14,15,56
MOUNTAIN,2020,10,28,134,361,394
INDIANA,2020,10,,11,23,51
NON-US RESIDENTS,2020,10,,0,,
US TERRITORIES,2020,10,,2,,
SOUTH DAKOTA,2020,15,,8,2,60
WYOMING,2020,15,,7,11,1
MISSOURI,2020,15,,19,56,80
MIDDLE ATLANTIC,2020,15,3,82,459,374
CALIFORNIA,2020,15,1,66,266,659
WEST VIRGINIA,2020,15,,5,15,4
FLORIDA,2020,15,6,22,159,90
MONTANA,2020,15,4,95,28,79
ILLINOIS,2020,12,,46,210,122
IOWA,2020,12,,17,12,48
TEXAS,2020,12,1,116,138,91
ALASKA,2020,12,,4,,5
DISTRICT OF COLUMBIA,2020,12,,4,5,5
WASHINGTON,2020,12,,32,167,105
NEW ENGLAND,2020,12,1,25,58,228
RHODE ISLAND,2020,12,,8,2,1
OREGON,2020,12,,20,113,44
DELAWARE,2020,12,,3,11,
ALABAMA,2020,12,,14,44,52
KANSAS,2020,12,,4,,31
NORTH CAROLINA,2020,12,,20,51,76
GUAM,2020,12,,2,,
NEW JERSEY,2020,12,,11,,60
NEW MEXICO,2020,12,,9,27,51
EAST NORTH CENTRAL,2020,12,16,125,661,606
TENNESSEE,2020,12,5,14,48,43
CONNECTICUT,2020,12,,5,3,11
MARYLAND,2020,12,1,6,15,23
SOUTH CAROLINA,2020,12,,10,11,58
OKLAHOMA,2020,12,,10,,
NORTHERN MARIANA ISLANDS,2020,12,,0,,
OHIO,2020,12,15,51,313,218
MINNESOTA,2020,12,,15,9,89
LOUISIANA,2020,12,,5,13,25
HAWAII,2020,12,,4,7,7
SOUTH ATLANTIC,2020,12,17,78,348,335
PENNSYLVANIA,2020,12,11,50,285,86
UTAH,2020,12,,12,28,81
COLORADO,2020,12,9,21,123,104
VERMONT,2020,12,,5,9,6
KENTUCKY,2020,12,1,14,38,32
PUERTO RICO,2020,12,,0,,
MAINE,2020,12,1,17,26,131
VIRGINIA,2020,12,4,43,55,35
ARIZONA,2020,12,12,24,204,105
AMERICAN SAMOA,2020,12,,0,,
WISCONSIN,2020,12,,42,53,109
IDAHO,2020,12,,17,18,21
U.S. VIRGIN ISLANDS,2020,12,,0,,
MICHIGAN,2020,12,,21,57,93
GEORGIA,2020,12,,19,55,62
NEW YORK CITY,2020,12,,15,24,46
ARKANSAS,2020,12,,7,24,19
MISSISSIPPI,2020,12,,3,5,12
SOUTH DAKOTA,2020,12,,8,2,48
WYOMING,2020,12,,7,11,
MISSOURI,2020,12,3,19,56,64
MIDDLE ATLANTIC,2020,12,18,82,416,312
CALIFORNIA,2020,12,,65,229,550
WEST VIRGINIA,2020,12,,5,7,1
FLORIDA,2020,12,12,22,138,75
MONTANA,2020,12,,95,17,71
WEST NORTH CENTRAL,2020,12,9,46,127,309
MASSACHUSETTS,2020,12,,14,15,59
MOUNTAIN,2020,12,21,134,435,454
INDIANA,2020,12,1,11,28,64
NON-US RESIDENTS,2020,12,,0,,
US TERRITORIES,2020,12,,2,,
WEST NORTH CENTRAL,2020,15,1,46,136,393
MASSACHUSETTS,2020,15,,14,37,72
MOUNTAIN,2020,15,8,134,523,545
INDIANA,2020,15,,11,29,72
NON-US RESIDENTS,2020,15,,0,,
US TERRITORIES,2020,15,,2,,
TOTAL,2020,16,52,469,3567,4206
US RESIDENTS,2020,16,52,469,3567,4206
NEW HAMPSHIRE,2020,16,,5,3,21
NEW YORK,2020,16,5,30,117,161
PACIFIC,2020,16,3,87,621,925
WEST SOUTH CENTRAL,2020,16,,122,187,207
NEBRASKA,2020,16,1,11,40,46
EAST SOUTH CENTRAL,2020,16,2,28,193,187
NORTH DAKOTA,2020,16,,7,13,2
NEVADA,2020,16,,6,7,29
ILLINOIS,2020,16,,46,278,148
IOWA,2020,16,,17,15,59
TEXAS,2020,16,,117,144,150
ALASKA,2020,16,,4,7,8
DISTRICT OF COLUMBIA,2020,16,,4,7,6
WASHINGTON,2020,16,1,32,190,151
NEW ENGLAND,2020,16,,26,85,291
RHODE ISLAND,2020,16,,8,3,3
OREGON,2020,16,1,20,137,58
DELAWARE,2020,16,,3,11,
ALABAMA,2020,16,,14,80,67
KANSAS,2020,16,,3,,36
NORTH CAROLINA,2020,16,,20,93,112
GUAM,2020,16,,2,,
NEW JERSEY,2020,16,,11,,85
TOTAL,2020,18,42,460,3795,4725
US RESIDENTS,2020,18,42,460,3795,4725
NEW HAMPSHIRE,2020,18,,5,3,24
NEW YORK,2020,18,,31,117,184
PACIFIC,2020,18,4,87,656,1046
WEST SOUTH CENTRAL,2020,18,1,118,188,223
NEBRASKA,2020,18,,11,40,54
EAST SOUTH CENTRAL,2020,18,,28,217,207
NORTH DAKOTA,2020,18,,7,13,3
NEVADA,2020,18,,6,7,31
ILLINOIS,2020,18,,46,287,163
IOWA,2020,18,,17,18,64
TEXAS,2020,18,,117,144,192
ALASKA,2020,18,,4,7,11
DISTRICT OF COLUMBIA,2020,18,,4,7,5
WASHINGTON,2020,18,3,32,205,171
NEW ENGLAND,2020,18,,26,85,319
RHODE ISLAND,2020,18,,8,3,4
OREGON,2020,18,,20,140,68
DELAWARE,2020,18,,3,11,
ALABAMA,2020,18,,14,99,72
KANSAS,2020,18,,3,,41
NORTH CAROLINA,2020,18,,20,104,128
GUAM,2020,18,,2,,
NEW JERSEY,2020,18,,11,,92
NEW MEXICO,2020,18,,9,33,62
EAST NORTH CENTRAL,2020,18,13,125,852,805
TENNESSEE,2020,18,,14,66,70
CONNECTICUT,2020,18,,5,4,15
MARYLAND,2020,18,,6,18,29
SOUTH CAROLINA,2020,18,,10,11,78
OKLAHOMA,2020,18,,10,,
NORTHERN MARIANA ISLANDS,2020,18,,0,,
TOTAL,2020,13,70,466,3119,3460
US RESIDENTS,2020,13,70,466,3119,3460
NEW HAMPSHIRE,2020,13,,5,3,20
NEW YORK,2020,13,1,30,108,129
PACIFIC,2020,13,2,88,546,752
WEST SOUTH CENTRAL,2020,13,,121,177,149
NEBRASKA,2020,13,1,11,38,33
EAST SOUTH CENTRAL,2020,13,4,28,153,153
NORTH DAKOTA,2020,13,,7,12,1
NEVADA,2020,13,,6,7,23
OHIO,2020,18,13,51,396,266
MINNESOTA,2020,18,,15,51,147
LOUISIANA,2020,18,,5,15,31
ILLINOIS,2020,13,,46,267,131
IOWA,2020,13,,17,15,51
TEXAS,2020,13,,116,138,103
ALASKA,2020,13,,4,,7
DISTRICT OF COLUMBIA,2020,13,,4,5,5
WASHINGTON,2020,13,,32,173,114
NEW ENGLAND,2020,13,1,26,82,246
RHODE ISLAND,2020,13,,8,2,1
OREGON,2020,13,2,20,122,45
DELAWARE,2020,13,,3,11,
ALABAMA,2020,13,,14,51,56
KANSAS,2020,13,,3,,33
NORTH CAROLINA,2020,13,,20,58,84
GUAM,2020,13,,2,,
NEW JERSEY,2020,13,,11,,64
NEW MEXICO,2020,13,,9,28,53
EAST NORTH CENTRAL,2020,13,17,125,735,636
TENNESSEE,2020,13,2,14,56,49
CONNECTICUT,2020,13,,5,4,12
MARYLAND,2020,13,,6,15,25
SOUTH CAROLINA,2020,13,,10,11,61
OKLAHOMA,2020,13,,10,,
NORTHERN MARIANA ISLANDS,2020,13,,0,,
OHIO,2020,13,17,51,330,227
MINNESOTA,2020,13,,15,9,103
LOUISIANA,2020,13,,5,14,26
HAWAII,2020,13,,4,7,7
SOUTH ATLANTIC,2020,13,9,78,381,369
PENNSYLVANIA,2020,13,6,50,299,89
UTAH,2020,13,,12,30,83
COLORADO,2020,13,7,21,130,111
VERMONT,2020,13,,5,9,6
KENTUCKY,2020,13,2,14,41,36
PUERTO RICO,2020,13,,0,,
MAINE,2020,13,1,15,27,146
VIRGINIA,2020,13,,43,56,38
ARIZONA,2020,13,21,24,234,113
AMERICAN SAMOA,2020,13,,0,,
WISCONSIN,2020,13,,42,53,112
IDAHO,2020,13,,17,18,24
U.S. VIRGIN ISLANDS,2020,13,,0,,
MICHIGAN,2020,13,,21,57,98
GEORGIA,2020,13,1,19,66,75
NEW YORK CITY,2020,13,,15,28,47
ARKANSAS,2020,13,,7,25,20
MISSISSIPPI,2020,13,,3,5,12
SOUTH DAKOTA,2020,13,,8,2,53
WYOMING,2020,13,,7,11,1
MISSOURI,2020,13,,19,56,71
MIDDLE ATLANTIC,2020,13,7,82,435,329
CALIFORNIA,2020,13,,66,244,579
WEST VIRGINIA,2020,13,,5,12,2
FLORIDA,2020,13,8,22,147,79
MONTANA,2020,13,1,95,20,73
WEST NORTH CENTRAL,2020,13,1,46,132,345
MASSACHUSETTS,2020,13,,14,37,61
MOUNTAIN,2020,13,29,134,478,481
INDIANA,2020,13,,11,28,68
NON-US RESIDENTS,2020,13,,0,,
US TERRITORIES,2020,13,,2,,
HAWAII,2020,18,,4,10,11
SOUTH ATLANTIC,2020,18,8,82,536,512
PENNSYLVANIA,2020,18,1,50,331,111
UTAH,2020,18,,15,47,122
COLORADO,2020,18,9,21,145,158
VERMONT,2020,18,,5,11,6
KENTUCKY,2020,18,,14,46,50
PUERTO RICO,2020,18,,0,,
MAINE,2020,18,,13,27,183
VIRGINIA,2020,18,2,43,68,54
ARIZONA,2020,18,6,27,267,135
AMERICAN SAMOA,2020,18,,0,,
WISCONSIN,2020,18,,42,61,167
IDAHO,2020,18,,17,52,29
U.S. VIRGIN ISLANDS,2020,18,,0,,
MICHIGAN,2020,18,,21,79,136
GEORGIA,2020,18,1,12,123,102
NEW YORK CITY,2020,18,,15,35,52
ARKANSAS,2020,18,1,5,29,
MISSISSIPPI,2020,18,,3,6,15
SOUTH DAKOTA,2020,18,,8,2,70
WYOMING,2020,18,,7,11,11
MISSOURI,2020,18,,19,56,88
MIDDLE ATLANTIC,2020,18,1,84,483,439
CALIFORNIA,2020,18,1,65,294,785
WEST VIRGINIA,2020,18,,5,15,6
FLORIDA,2020,18,5,22,179,110
MONTANA,2020,18,,59,36,159
WEST NORTH CENTRAL,2020,18,,46,180,467
MASSACHUSETTS,2020,18,,14,37,87
MOUNTAIN,2020,18,15,98,598,707
INDIANA,2020,18,,11,29,73
NON-US RESIDENTS,2020,18,,0,,
US TERRITORIES,2020,18,,2,,
TOTAL,2020,23,13,459,4362,6316
US RESIDENTS,2020,23,13,459,4362,6316
NEW HAMPSHIRE,2020,23,,5,4,29
NEW YORK,2020,23,1,31,119,227
PACIFIC,2020,23,,95,860,1358
WEST SOUTH CENTRAL,2020,23,,118,200,353
NEBRASKA,2020,23,,11,44,67
EAST SOUTH CENTRAL,2020,23,,28,242,277
NORTH DAKOTA,2020,23,,7,13,3
NEVADA,2020,23,,6,7,34
ILLINOIS,2020,23,,46,299,220
IOWA,2020,23,,17,19,77
TEXAS,2020,23,,117,144,306
ALASKA,2020,23,,3,7,20
DISTRICT OF COLUMBIA,2020,23,,4,9,8
WASHINGTON,2020,23,,32,218,232
NEW ENGLAND,2020,23,,28,90,398
RHODE ISLAND,2020,23,,8,3,4
OREGON,2020,23,,42,304,130
DELAWARE,2020,23,,3,11,3
ALABAMA,2020,23,,14,115,100
KANSAS,2020,23,,1,,46
NORTH CAROLINA,2020,23,,20,129,168
GUAM,2020,23,,2,,
NEW JERSEY,2020,23,,11,,125
NEW MEXICO,2020,23,,9,36,57
EAST NORTH CENTRAL,2020,23,4,125,943,1032
TENNESSEE,2020,23,,14,72,82
CONNECTICUT,2020,23,,5,4,21
TOTAL,2020,14,48,468,3267,3732
US RESIDENTS,2020,14,48,468,3267,3732
NEW HAMPSHIRE,2020,14,,5,3,20
NEW YORK,2020,14,4,30,112,140
PACIFIC,2020,14,,88,567,826
WEST SOUTH CENTRAL,2020,14,2,121,179,164
NEBRASKA,2020,14,,11,38,35
EAST SOUTH CENTRAL,2020,14,2,28,162,164
NORTH DAKOTA,2020,14,,7,12,1
NEVADA,2020,14,,6,7,27
MARYLAND,2020,23,,6,21,35
SOUTH CAROLINA,2020,23,,10,11,107
OKLAHOMA,2020,23,,10,,
US RESIDENTS,2020,20,22,461,3998,5413
ILLINOIS,2020,14,,46,267,137
IOWA,2020,14,,17,15,55
TEXAS,2020,14,,116,138,115
ALASKA,2020,14,,4,,8
DISTRICT OF COLUMBIA,2020,14,,4,7,6
WASHINGTON,2020,14,,32,178,126
NEW ENGLAND,2020,14,,26,83,254
RHODE ISLAND,2020,14,,8,3,2
OREGON,2020,14,,20,122,48
DELAWARE,2020,14,,3,11,
ALABAMA,2020,14,,14,55,62
KANSAS,2020,14,,3,,34
NORTH CAROLINA,2020,14,,20,74,95
GUAM,2020,14,,2,,
NEW JERSEY,2020,14,,11,,74
NEW MEXICO,2020,14,,9,33,54
EAST NORTH CENTRAL,2020,14,16,125,753,695
TENNESSEE,2020,14,2,14,61,51
CONNECTICUT,2020,14,,5,4,12
MARYLAND,2020,14,,6,15,26
SOUTH CAROLINA,2020,14,,10,11,61
OKLAHOMA,2020,14,,10,,
NORTHERN MARIANA ISLANDS,2020,14,,0,,
OHIO,2020,14,16,51,346,238
MINNESOTA,2020,14,,15,9,113
LOUISIANA,2020,14,,5,14,26
HAWAII,2020,14,,4,10,8
SOUTH ATLANTIC,2020,14,8,78,431,394
PENNSYLVANIA,2020,14,5,50,306,93
UTAH,2020,14,,12,32,90
COLORADO,2020,14,3,21,133,117
VERMONT,2020,14,,5,9,6
KENTUCKY,2020,14,,14,41,39
PUERTO RICO,2020,14,,0,,
MAINE,2020,14,,13,27,150
VIRGINIA,2020,14,1,43,59,42
ARIZONA,2020,14,8,26,257,115
AMERICAN SAMOA,2020,14,,0,,
WISCONSIN,2020,14,,42,55,139
IDAHO,2020,14,,17,18,27
U.S. VIRGIN ISLANDS,2020,14,,0,,
MICHIGAN,2020,14,,21,57,110
GEORGIA,2020,14,1,23,87,77
NEW YORK CITY,2020,14,,15,30,47
ARKANSAS,2020,14,2,7,27,23
MISSISSIPPI,2020,14,,3,5,12
SOUTH DAKOTA,2020,14,,8,2,56
WYOMING,2020,14,,7,11,1
MISSOURI,2020,14,,19,56,79
MIDDLE ATLANTIC,2020,14,9,82,448,354
CALIFORNIA,2020,14,,66,257,636
WEST VIRGINIA,2020,14,,5,14,2
FLORIDA,2020,14,6,22,153,85
MONTANA,2020,14,,95,21,77
WEST NORTH CENTRAL,2020,14,,46,132,373
MASSACHUSETTS,2020,14,,14,37,64
MOUNTAIN,2020,14,11,134,512,508
INDIANA,2020,14,,11,28,71
NON-US RESIDENTS,2020,14,,0,,
US TERRITORIES,2020,14,,2,,
NORTHERN MARIANA ISLANDS,2020,23,,0,,
OHIO,2020,23,4,51,429,334
MINNESOTA,2020,23,,15,52,175
LOUISIANA,2020,23,,4,23,47
HAWAII,2020,23,,4,10,13
SOUTH ATLANTIC,2020,23,2,83,623,676
PENNSYLVANIA,2020,23,1,50,352,162
UTAH,2020,23,,15,48,163
COLORADO,2020,23,4,21,166,223
VERMONT,2020,23,,5,11,9
KENTUCKY,2020,23,,14,47,74
PUERTO RICO,2020,23,,0,,
MAINE,2020,23,,13,27,226
VIRGINIA,2020,23,,43,73,74
ARIZONA,2020,23,1,27,290,163
AMERICAN SAMOA,2020,23,,0,,
WISCONSIN,2020,23,,42,97,200
IDAHO,2020,23,,17,52,49
U.S. VIRGIN ISLANDS,2020,23,,0,,
MICHIGAN,2020,23,,21,86,183
GEORGIA,2020,23,2,13,156,125
NEW YORK CITY,2020,23,,15,43,68
ARKANSAS,2020,23,,5,33,
MISSISSIPPI,2020,23,,3,8,21
SOUTH DAKOTA,2020,23,,8,2,85
WYOMING,2020,23,,4,11,18
MISSOURI,2020,23,,19,113,130
MIDDLE ATLANTIC,2020,23,2,84,514,582
CALIFORNIA,2020,23,,58,321,963
WEST VIRGINIA,2020,23,,5,18,10
NEW MEXICO,2020,16,,9,33,61
EAST NORTH CENTRAL,2020,16,17,125,809,748
TENNESSEE,2020,16,2,14,66,59
CONNECTICUT,2020,16,,5,4,15
MARYLAND,2020,16,,6,16,28
SOUTH CAROLINA,2020,16,,10,11,69
OKLAHOMA,2020,16,,10,,
NORTHERN MARIANA ISLANDS,2020,16,,0,,
OHIO,2020,16,17,51,377,254
MINNESOTA,2020,16,,15,51,129
LOUISIANA,2020,16,,5,15,28
HAWAII,2020,16,,4,10,10
SOUTH ATLANTIC,2020,16,9,78,480,452
PENNSYLVANIA,2020,16,3,50,321,101
UTAH,2020,16,,15,43,107
COLORADO,2020,16,6,21,139,136
VERMONT,2020,16,,5,11,6
KENTUCKY,2020,16,,14,42,47
PUERTO RICO,2020,16,,0,,
MAINE,2020,16,,13,27,169
VIRGINIA,2020,16,1,43,64,48
ARIZONA,2020,16,6,28,260,128
AMERICAN SAMOA,2020,16,,0,,
WISCONSIN,2020,16,,42,55,155
IDAHO,2020,16,,17,21,29
U.S. VIRGIN ISLANDS,2020,16,,0,,
MICHIGAN,2020,16,,21,70,119
GEORGIA,2020,16,1,23,97,90
NEW YORK CITY,2020,16,,15,35,49
ARKANSAS,2020,16,,7,28,29
MISSISSIPPI,2020,16,,3,5,14
SOUTH DAKOTA,2020,16,,8,2,65
WYOMING,2020,16,,7,11,4
MISSOURI,2020,16,,19,56,83
MIDDLE ATLANTIC,2020,16,8,82,473,396
CALIFORNIA,2020,16,1,65,277,698
WEST VIRGINIA,2020,16,,5,15,4
FLORIDA,2020,16,7,22,166,95
MONTANA,2020,16,,95,28,86
WEST NORTH CENTRAL,2020,16,1,46,177,420
MASSACHUSETTS,2020,16,,14,37,77
MOUNTAIN,2020,16,12,134,542,580
INDIANA,2020,16,,11,29,72
NON-US RESIDENTS,2020,16,,0,,
US TERRITORIES,2020,16,,2,,
FLORIDA,2020,23,,22,195,146
MONTANA,2020,23,,16,37,350
WEST NORTH CENTRAL,2020,23,,46,243,583
MASSACHUSETTS,2020,23,,16,41,109
MOUNTAIN,2020,23,5,62,647,1057
INDIANA,2020,23,,11,32,95
NON-US RESIDENTS,2020,23,,0,,
US TERRITORIES,2020,23,,2,,
TOTAL,2020,25,22,460,4463,7012
US RESIDENTS,2020,25,22,460,4463,7012
NEW HAMPSHIRE,2020,25,,5,4,29
NEW YORK,2020,25,1,31,122,259
PACIFIC,2020,25,2,96,870,1510
WEST SOUTH CENTRAL,2020,25,1,118,202,421
NEBRASKA,2020,25,1,11,48,69
EAST SOUTH CENTRAL,2020,25,,28,247,312
NORTH DAKOTA,2020,25,,7,15,3
NEVADA,2020,25,,6,7,34
ILLINOIS,2020,25,,46,307,255
IOWA,2020,25,,17,21,98
TEXAS,2020,25,,117,144,373
ALASKA,2020,25,,3,7,21
DISTRICT OF COLUMBIA,2020,25,,4,9,9
WASHINGTON,2020,25,,32,220,259
NEW ENGLAND,2020,25,,28,90,433
RHODE ISLAND,2020,25,,8,3,5
OREGON,2020,25,1,42,306,146
DELAWARE,2020,25,,3,11,3
ALABAMA,2020,25,,14,120,112
KANSAS,2020,25,,0,,46
NORTH CAROLINA,2020,25,,20,132,187
GUAM,2020,25,,2,,
NEW JERSEY,2020,25,,11,,137
TOTAL,2020,19,21,460,3878,5059
US RESIDENTS,2020,19,21,460,3878,5059
NEW HAMPSHIRE,2020,19,,5,3,25
NEW YORK,2020,19,1,31,118,190
PACIFIC,2020,19,1,87,667,1108
WEST SOUTH CENTRAL,2020,19,,118,188,246
NEBRASKA,2020,19,,11,40,56
EAST SOUTH CENTRAL,2020,19,1,28,228,218
NORTH DAKOTA,2020,19,,7,13,3
NEVADA,2020,19,,6,7,32
NEW MEXICO,2020,25,,9,43,61
EAST NORTH CENTRAL,2020,25,4,125,964,1144
TENNESSEE,2020,25,,14,72,89
ILLINOIS,2020,19,,46,290,175
IOWA,2020,19,,17,18,65
TEXAS,2020,19,,117,144,210
ALASKA,2020,19,,4,7,11
DISTRICT OF COLUMBIA,2020,19,,4,7,5
WASHINGTON,2020,19,,32,207,183
NEW ENGLAND,2020,19,,26,85,337
RHODE ISLAND,2020,19,,8,3,4
OREGON,2020,19,1,20,142,74
DELAWARE,2020,19,,3,11,
ALABAMA,2020,19,,14,106,76
KANSAS,2020,19,,2,,41
NORTH CAROLINA,2020,19,,20,108,137
GUAM,2020,19,,2,,
NEW JERSEY,2020,19,,11,,95
NEW MEXICO,2020,19,,9,33,64
TOTAL,2020,17,24,468,3680,4428
