date,state,dataQualityGrade,death,hospitalized,hospitalizedCumulative,hospitalizedCurrently,negative,negativeTestsViral,positive,positiveCasesViral,positiveTestsViral,recovered,totalTestResults,totalTestsPeopleViral,totalTestsViral
3/20/20,NE,,0,,,,240,648,32,,16,,684,,684
3/19/20,NE,,0,,,,240,538,27,,9,,567,,567
3/18/20,NE,,,,,,206,446,24,,7,,473,,473
3/17/20,NE,,,,,,206,351,21,,6,,376,,376
3/16/20,NE,,,,,,170,276,18,,5,,300,,300
3/15/20,NE,,,,,,80,222,17,,5,,246,,246
3/14/20,NE,,,,,,80,195,14,,3,,217,,217
3/13/20,NE,,,,,,80,185,13,,0,,204,,204
3/12/20,NE,,,,,,80,152,10,,0,,171,,171
3/11/20,NE,,,,,,47,134,5,,0,,150,,150
3/10/20,NE,,,,,,47,102,3,,0,,116,,116
3/9/20,NE,,,,,,36,88,3,,0,,101,,101
3/8/20,NE,,,,,,17,81,1,,0,,92,,92
3/7/20,NE,,,,,,17,69,1,,0,,79,,79
3/6/20,NE,,,,,,17,64,0,,0,,72,,72
3/5/20,NE,,,,,,17,58,0,,0,,66,,66
3/4/20,NE,,,,,,,43,,,0,,48,,48
3/3/20,NE,,,,,,,43,,,0,,48,,48
3/2/20,NE,,,,,,,33,,,0,,36,,36
3/1/20,NE,,,,,,,33,,,0,,36,,36
2/29/20,NE,,,,,,,24,,,0,,25,,25
2/28/20,NE,,,,,,,9,,,0,,10,,10
2/27/20,NE,,,,,,,9,,,0,,10,,10
2/26/20,NE,,,,,,,9,,,0,,10,,10
2/25/20,NE,,,,,,,9,,,0,,10,,10
2/24/20,NE,,,,,,,9,,,0,,10,,10
2/23/20,NE,,,,,,,9,,,0,,10,,10
2/22/20,NE,,,,,,,9,,,0,,10,,10
2/21/20,NE,,,,,,,9,,,0,,10,,10
2/20/20,NE,,,,,,,8,,,0,,9,,9
2/19/20,NE,,,,,,,8,,,0,,9,,9
2/18/20,NE,,,,,,,2,,,0,,3,,3
2/17/20,NE,,,,,,,2,,,0,,3,,3
2/16/20,NE,,,,,,,2,,,0,,3,,3
2/15/20,NE,,,,,,,1,,,0,,1,,1
